battle_id,player_won
0,False
1,True
2,True
3,True
4,True
5,False
6,True
7,True
8,True
9,True
10,True
11,True
12,True
13,False
14,True
15,False
16,True
17,True
18,True
19,True
20,False
21,True
22,True
23,True
24,True
25,True
26,True
27,True
28,True
29,True
30,True
31,True
32,False
33,True
34,True
35,True
36,False
37,False
38,True
39,False
40,True
41,True
42,True
43,True
44,True
45,True
46,False
47,True
48,True
49,True
50,True
51,False
52,True
53,False
54,True
55,True
56,True
57,True
58,True
59,True
60,True
61,False
62,True
63,False
64,False
65,True
66,True
67,True
68,True
69,True
70,True
71,True
72,True
73,True
74,True
75,False
76,True
77,True
78,True
79,True
80,True
81,True
82,True
83,True
84,True
85,True
86,True
87,True
88,True
89,True
90,True
91,True
92,True
93,True
94,False
95,True
96,True
97,True
98,True
99,True
100,True
101,True
102,True
103,True
104,False
105,False
106,False
107,True
108,True
109,False
110,True
111,True
112,True
113,True
114,True
115,False
116,True
117,True
118,True
119,True
120,True
121,True
122,True
123,False
124,True
125,True
126,True
127,True
128,True
129,True
130,True
131,True
132,True
133,True
134,True
135,True
136,False
137,True
138,True
139,True
140,False
141,False
142,True
143,True
144,True
145,True
146,True
147,True
148,True
149,True
150,True
151,True
152,True
153,True
154,False
155,True
156,False
157,True
158,True
159,True
160,True
161,False
162,True
163,True
164,True
165,True
166,True
167,False
168,True
169,True
170,True
171,True
172,True
173,True
174,True
175,True
176,True
177,False
178,True
179,True
180,True
181,True
182,True
183,True
184,True
185,True
186,True
187,True
188,True
189,True
190,True
191,True
192,True
193,True
194,True
195,True
196,True
197,True
198,True
199,True
200,True
201,True
202,True
203,True
204,True
205,True
206,True
207,True
208,True
209,True
210,True
211,True
212,False
213,True
214,True
215,False
216,True
217,True
218,True
219,True
220,True
221,True
222,True
223,True
224,True
225,True
226,True
227,True
228,True
229,True
230,True
231,True
232,True
233,True
234,True
235,True
236,True
237,True
238,False
239,True
240,True
241,False
242,True
243,True
244,False
245,True
246,True
247,True
248,True
249,True
250,False
251,True
252,True
253,False
254,True
255,True
256,True
257,False
258,False
259,True
260,True
261,True
262,True
263,True
264,True
265,True
266,True
267,True
268,False
269,True
270,True
271,True
272,True
273,False
274,True
275,True
276,True
277,True
278,True
279,True
280,True
281,False
282,True
283,True
284,True
285,True
286,True
287,True
288,True
289,False
290,True
291,True
292,True
293,True
294,True
295,True
296,True
297,True
298,False
299,True
300,False
301,True
302,True
303,True
304,True
305,True
306,True
307,True
308,True
309,True
310,True
311,True
312,True
313,True
314,True
315,True
316,True
317,True
318,True
319,True
320,True
321,True
322,True
323,True
324,True
325,False
326,True
327,True
328,False
329,True
330,True
331,True
332,False
333,True
334,True
335,True
336,True
337,True
338,True
339,True
340,True
341,True
342,True
343,True
344,True
345,False
346,True
347,True
348,True
349,True
350,True
351,True
352,True
353,True
354,True
355,True
356,True
357,True
358,True
359,True
360,True
361,True
362,True
363,True
364,True
365,True
366,True
367,True
368,True
369,True
370,True
371,True
372,True
373,True
374,True
375,True
376,True
377,True
378,True
379,True
380,False
381,True
382,True
383,True
384,False
385,True
386,True
387,False
388,False
389,True
390,True
391,True
392,True
393,True
394,True
395,True
396,False
397,True
398,True
399,True
400,False
401,True
402,True
403,True
404,True
405,True
406,True
407,True
408,True
409,True
410,True
411,True
412,False
413,True
414,True
415,True
416,True
417,True
418,False
419,True
420,True
421,False
422,True
423,True
424,True
425,True
426,False
427,True
428,True
429,True
430,True
431,True
432,False
433,False
434,True
435,True
436,False
437,True
438,False
439,False
440,True
441,True
442,False
443,True
444,True
445,True
446,True
447,True
448,False
449,True
450,True
451,True
452,True
453,True
454,True
455,True
456,True
457,True
458,True
459,True
460,True
461,True
462,False
463,True
464,True
465,True
466,True
467,False
468,True
469,True
470,True
471,True
472,True
473,True
474,True
475,True
476,False
477,True
478,True
479,True
480,True
481,True
482,True
483,True
484,True
485,True
486,True
487,True
488,True
489,True
490,True
491,True
492,True
493,True
494,True
495,False
496,True
497,True
498,True
499,True
500,True
501,True
502,True
503,True
504,True
505,True
506,True
507,True
508,False
509,True
510,True
511,False
512,True
513,True
514,False
515,True
516,True
517,True
518,True
519,True
520,True
521,True
522,True
523,True
524,True
525,True
526,True
527,True
528,True
529,True
530,True
531,True
532,True
533,True
534,True
535,True
536,True
537,True
538,True
539,True
540,True
541,True
